provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre_y_juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
18,Corrientes,Capital,civil y comercial 2,137146/16,DAÑOS Y PERJUICIOS,22/08/2016,24/08/2016,12/06/2019,No conciliada,12/06/2019,07/08/2019,No conciliada,,,
18,Corrientes,Capital,civil y comercial 2,123456/15,DAÑOS Y PERJUICIOS,15/10/2015,15/10/2015,19/06/2019,No conciliada,19/06/2019,06/08/2019,No conciliada,01/10/2019,,
18,Corrientes,Capital,Civil y Comercial 12,78174/12,DAÑOS Y PERJUICIOS,01/06/2012,01/06/2012,27/06/2019,No conciliada,27/06/2019,02/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,169531/18,DAÑOS Y PERJUICIOS,05/06/2018,05/06/2019,24/06/2019,No conciliada,24/06/2019,02/09/2019,No conciliada,,,
18,Corrientes,Capital,Civil y Comercial 12,174157/18,DAÑOS Y PERJUICIOS,11/09/2018,11/09/2018,18/06/2019,No conciliada,18/06/2019,03/09/2019,No realizada,,,
18,Corrientes,Capital,Civil y Comercial 12,182755/19,DAÑOS Y PERJUICIOS,18/03/2019,18/03/2019,05/06/2019,No conciliada,05/06/2019,30/08/2019,No conciliada,30/09/2019,,
18,Corrientes,Goya,civil y comercial 1 Goya,35216/18,DAÑOS Y PERJUICIOS,19/12/2018,19/12/2018,13/06/2019,No conciliada,13/06/2019,22/08/2019,No conciliada,,,
18,Corrientes,Goya,civil y comercial 1 Goya,35330/19,DAÑOS Y PERJUICIOS,01/02/2019,01/02/2019,19/06/2019,No conciliada,19/06/2019,23/08/2019,No conciliada,,,
18,Corrientes,Goya,civil y comercial 1 Goya,33955/18,REINVINDICACIÓN - ORDINARIO,30/07/2018,30/07/2018,26/06/2019,No conciliada,26/06/2019,01/10/2019,No conciliada,,,
18,Corrientes,goya,civil y comercial 2 Goya,34285/18,REINVINDICACIÓN - ORDINARIO,04/09/2018,04/09/2018,24/06/2019,No conciliada,24/06/2019,02/09/2019,No conciliada,,,
18,Corrientes,goya,civil y comercial 2 Goya,54277/19,PRESCRIPCIÓN ADQUISITIVA,18/08/2010,18/08/2010,10/06/2019,No conciliada,10/06/2019,10/09/2019,No conciliada,23/09/2019,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,28922/16,PRESCRIPCIÓN ADQUISITIVA,20/09/2016,20/09/2016,12/06/2019,No conciliada,12/06/2019,09/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,35084/18,DESALOJO ,07/12/2018,07/12/2018,18/06/2019,No conciliada,18/06/2019,24/09/2019,No realizada,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,26905/15,DAÑOS Y PERJUICIOS,18/12/2015,18/12/2015,24/06/2019,No conciliada,24/06/2019,29/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32952/18,ACCION DE LESIVIDAD,07/03/2018,07/03/2018,04/06/2019,No conciliada,04/06/2019,----------------,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34553/18,REINVINDICACIÓN - ORDINARIO,04/10/2018,04/10/2018,10/06/2019,No conciliada,10/06/2019,08/10/2019,,,,
18,Corrientes,San Roque,Multifuero - San Roque,11582/19,INTERDICTO,07/02/2019,07/02/2019,24/06/2019,No conciliada,24/06/2019,12/08/2019,No conciliada,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",9644/17,REINVINDICACIÓN - ORDINARIO,24/08/2017,24/08/2017,19/06/2019,No conciliada,19/06/2019,----------------,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11674/18,ALIMENTOS,17/12/2018,17/12/2018,24/06/2019,No conciliada,24/06/2019,---------------,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",1080/09,SUCESION - AB INTESTATO,04/02/2009,04/02/2009,02/07/2019,Concilió,-----------------,--------------------,,,02/07/2019,HOMOLOGATORIA
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12325/19,DERECHO DE COMUNICACIÓN,30/04/2019,30/04/2019,11/07/2019,Concilió,-------------------,----------------,,,11/07/2019,HOMOLOGATORIA
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11675/18,CUMPLIMIENTO/RESOLUCION DE CONTRATO,07/12/2018,07/12/2018,30/07/2019,No conciliada,---------------,-------------------,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12311/19,DERECHO DE COMUNICACIÓN,25/04/2019,25/04/2019,31/07/2019,Concilió,,,,,31/07/2019,HOMOLOGATORIA
18,Corrientes,Capital,Civil y Comercial 3,172672,SUMARIO (CONOCIMENTO),07/08/2018,07/08/2018,30/07/2019,No conciliada,---------------,-------------------,,,,
18,Corrientes,Capital,Civil y Comercial 12,113769/15,ORDINARIO (CONOCIMEINTO),04/03/2015,06/03/2015,10/07/2019,No conciliada,10/07/2019,05/09/2019,concilió,,05/09/2019,HOMOLOGATORIA
18,Corrientes,Capital,Civil y comercial  6,172826/18,DESALOJO,10/08/2019,10/08/2019,30/07/2019,No conciliada,30/07/2019,20/09/2019,concilió,,20/09/2019,HOMOLOGATORIA
18,Corrientes,Capital,Civil y comercial  6,173368/18,COBRO DE PESOS,23/08/2018,24/08/2018,04/07/2019,No conciliada,04/07/2019,28/09/2019,concilió,,28/09/2019,HOMOLOGATORIA
18,Corrientes,Capital,civil y comercial 2,4060/02,SUCESORIO,20/02/2007,20/02/2007,01/07/2019,Concilió,,,,,01/07/2019,HOMOLOGATORIA
18,Corrientes,Capital,Civil y comercial 13,129885/16,DESALOJO,04/04/2016,05/04/2016,11/07/2019,No realizada,,,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,33381/18,PRESCRIPCIÓN ADQUISITIVA,02/05/2018,02/05/2018,03/07/2019,No conciliada,03/07/2019,30/10/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,33249/18,PRESCRIPCIÓN ADQUISITIVA,16/04/2018,16/04/2018,11/07/2019,No conciliada,11/07/2019,08/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,32307/17,SUMARISIMO,29/11/2017,29/11/2017,12/07/2019,Concilió,,,,,12/07/2019,HOMOLOGATORIA
18,Corrientes,Goya,civil y comercial 2 Goya,34501/18,DAÑOS Y PERJUICIOS,28/09/2018,28/09/2018,31/07/2019,No conciliada,31/07/2019,11/09/2019,No conciliada,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,7532/17,DAÑOS Y PERJUICIOS,28/03/2017,28/03/2017,03/07/2019,No conciliada,03/07/2019,12/08/2019,No conciliada,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,7461/17,DAÑOS Y PERJUICIOS,07/03/2017,07/03/2017,03/07/2019,No conciliada,03/07/2019,29/10/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11409/18,DAÑOS Y PERJUICIOS,06/11/2018,06/11/2018,03/07/2019,No conciliada,03/07/2019,20/11/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11419/18,DESALOJO,07/11/2018,07/11/2018,12/07/2019,No conciliada,12/07/2019,24/10/2019,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,8633/18,DAÑOS Y PERJUICIOS,16/10/2019,19/06/2018,19/06/2018,No conciliada,16/10/2019,,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,8635/18,DAÑOS Y PERJUICIOS,16/10/2019,19/06/2018,19/06/2018,No conciliada,16/10/2019,,,,,
18,Corrientes,Capital,civil y comercial 2,107036/14,DAÑOS Y PERJUICIOS,20/08/2014,20/08/2014,30/08/2019,No conciliada,30/08/2019,03/12/2019,,,,
18,Corrientes,Capital,civil y comercial 2,164033/18,DAÑOS Y PERJUICIOS,09/02/2018,15/02/2018,14/08/2019,Concilió,14/08/2019,,,,14/08/2019,HOMOLOGATORIA
18,Corrientes,Capital,civil y comercial 2,172731/18,DESALOJO,08/08/2018,10/08/2019,16/08/2019,No conciliada,16/08/2019,01/10/2019,,,,
18,Corrientes,Capital,civil y comercial 3,161222/17,PRESCRIPCIÓN ADQUISITIVA,22/11/2017,22/11/2017,07/08/2019,No conciliada,07/08/2019,06/11/2019,,,,
18,Corrientes,Capital,civil y comercial 3,166917/18,DAÑOS Y PERJUICIOS,10/04/2018,10/04/2018,14/08/2019,Concilió,06/11/2018,,,,14/08/2019,HOMOLOGATORIA
18,Corrientes,Capital,civil y comercial 3,187144/19,ESCRITURACIÓN,12/06/2019,12/06/2019,14/08/2019,No conciliada,14/08/2019,,,,,
18,Corrientes,Capital,civil y comercial 3,134789/16,DAÑOS Y PERJUICIOS,07/07/2016,07/07/2016,21/08/2019,No conciliada,21/08/2019,01/11/2019,,,,
18,Corrientes,Capital,Civil y comercial  6,156821/17,DESALOJO,06/09/2017,06/09/2017,08/08/2019,No conciliada,08/08/2019,25/09/2019,No realizada,,,
18,Corrientes,Capital,Civil y comercial  6, 165646/18,REINVINDICACIÓN - ORDINARIO,16/03/2018,16/03/2018,13/08/2019,No conciliada,13/08/2019,23/10/2019,,,,
18,Corrientes,Capital,Civil y comercial  6, 167036/18,DAÑOS Y PERJUICIOS,11/04/2018,13/04/2018,20/08/2019,No conciliada,20/08/2019,09/10/2019,,,,
18,Corrientes,Capital,Civil y comercial  6,177253/18,DAÑOS Y PERJUICIOS,07/11/2018,07/11/2018,23/08/2019,Concilió,23/08/2019,,,,23/08/2019,HOMOLOGATORIA
18,Corrientes,Empedrado,Multifuero - Empedrado,18391/03,DIVORCIO,25/10/2019,25/10/2019,28/08/2019,No conciliada,28/08/2019,10/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,15785/14,PRESCRIPCIÓN ADQUISITIVA,19/12/2014,19/12/2014,14/08/2019,No conciliada,14/08/2019,30/10/2019,,,,
18,Corrientes,Santa Rosa,Multifuero - Santa Rosa,6705/17,REINVINDICACIÓN - ORDINARIO,14/11/2017,14/11/2017,01/08/2019,No conciliada,01/08/2019,08/10/2019,,,,
18,Corrientes,Goya,civil y comercial 1 Goya,34876/18,DIVISIÓN DE CONDOMINIO,15/11/2018,15/11/2018,23/08/2019,Concilió,23/08/2019,,,,23/08/2019,HOMOLOGATORIA
18,Corrientes,Goya,civil y comercial 1 Goya,35492/19,DAÑOS Y PERJUICIOS,20/02/2019,20/02/2019,15/08/2019,Concilió,15/08/2019,,,16/08/2019,16/08/2019,homologatoria
18,Corrientes,Goya,civil y comercial 2 Goya,34259/18,DAÑOS Y PERJUICIOS,31/08/2018,31/08/2018,08/08/2019,No conciliada,08/08/2019,04/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,35013/18,ACCIÓN POSESORIA DE DESPOJO,29/11/2018,29/11/2018,08/08/2019,No conciliada,08/08/2019,11/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,35049/18,DAÑOS Y PERJUICIOS,03/12/2018,03/12/2018,08/08/2019,No conciliada,08/08/2019,05/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,34434/18,REINVINDICACIÓN - ORDINARIO,20/09/2018,20/09/2018,15/08/2019,No conciliada,15/08/2019,13/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,35684/19,PRESCRIPCIÓN ADQUISITIVA,07/03/2019,07/03/2019,20/08/2019,Concilió,20/08/2019,,,,20/08/2019,HOMOLOGATORIA
18,Corrientes,Goya,civil y comercial 2 Goya,35809/19,COBRO DE PESOS,21/03/2019,21/03/2019,30/08/2019,No conciliada,30/08/2019,,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32845/18,INTERDICTO,23/02/2018,23/02/2018,07/08/2019,No conciliada,07/08/2019,30/09/2019,No realizada,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,33607/18,DAÑOS Y PERJUICIOS,01/06/2018,01/06/2018,07/08/2019,No conciliada,07/08/2019,09/12/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,35909/19,DESALOJO,04/04/2019,04/04/2019,07/08/2019,No conciliada,07/08/2019,10/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34682/18,,25/10/2018,25/10/2018,09/08/2019,No conciliada,09/08/2019,11/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32891/18,REINVINDICACIÓN - ORDINARIO,02/03/2018,02/03/2018,12/08/2019,No conciliada,12/08/2019,19/09/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,36097/19,SUMARIO (CONOCIMENTO),23/04/2019,23/04/2019,16/08/2019,Concilió,16/08/2019,,,,16/08/2019,HOMOLOGATORIA
18,Corrientes,San Roque,Multifuero - San Roque,9909/15,PRESCRIPCIÓN ADQUISITIVA,16/10/2015,16/10/2015,08/08/2019,No conciliada,08/08/2019,16/10/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11776/18,DAÑOS Y PERJUICIOS,18/12/2018,18/12/2018,02/08/2019,Concilió,02/08/2019,,,,02/08/2019,HOMOLOGATORIA
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",12377/19,SUMARISIMO,14/05/2019,14/05/2019,02/08/2019,No conciliada,02/08/2019,31/10/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",10400/18,DAÑOS Y PERJUICIOS,09/04/2018,09/04/2018,21/08/2019,No conciliada,21/08/2019,02/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11823/18,INTERDICTO DE RECOBRAR,21/12/2018,21/12/2018,26/08/2019,No conciliada,26/08/2019,11/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",9231/17,SUCESORIO,04/04/2017,04/04/2017,01/08/2019,No conciliada,,,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12249/19,REINVINDICACIÓN - ORDINARIO,09/04/2019,09/04/2019,06/08/2019,No conciliada,06/08/2019,,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",10652/18,COBRO DE PESOS,18/06/2018,18/06/2018,07/08/2019,No conciliada,,,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",8221/16,SUMARIO (CONOCIMENTO),15/05/2016,15/05/2016,09/08/2019,Concilió,,,,,09/08/2019,HOMOLOGATORIA
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12251/19,DAÑOS Y PERJUICIOS,10/04/2019,10/04/2019,23/08/2019,Concilió,,,,02/09/2019,19/09/2019,HOMOLOGATORIA
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11741/18,DAÑOS Y PERJUICIOS,14/12/2018,14/12/2018,13/08/2019,No conciliada,13/08/2019,22/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,13110/16,PRESCRIPCIÓN ADQUISITIVA,02/03/2016,02/03/2016,15/08/2019,No conciliada,15/08/2019,28/11/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,18899/18,DAÑOS Y PERJUICIOS,27/11/2018,27/11/2018,20/08/2019,No conciliada,20/08/2019,10/12/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,13391/16,DAÑOS Y PERJUICIOS,15/04/2019,15/04/2019,15/08/2019,No conciliada,15/08/2019,08/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18219/18,PRESCRIPCIÓN ADQUISITIVA,14/08/2018,14/08/2018,21/08/2019,No conciliada,21/08/2019,01/10/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9593/19,FILIACIÓN,03/04/2019,03/04/2019,05/08/2019,No conciliada,05/08/2019,,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,8877/19,REINVINDICACIÓN - ORDINARIO,17/05/2018,17/05/2018,12/08/2019,No conciliada,12/08/2019,12/12/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9217/18,IMPUGNACIÓN DE RECONOCIMIENTO,26/10/2018,26/10/2018,14/08/2019,No conciliada,14/08/2019,,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9032/18,PRESCRIPCIÓN ADQUISITIVA,16/08/2018,16/08/2018,20/08/2019,No conciliada,20/08/2019,28/10/2019,,,,
