provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre_y_juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9700/19,IMPUGNACIÓN DE RECONOCIMIENTO,08/05/2019,08/05/2019,27/08/2019,No conciliada,27/08/2019,,,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,9048/18,PRESCRIPCIÓN ADQUISITIVA,23/11/2018,23/11/2018,08/08/2019,No conciliada,08/08/2019,05/12/2019,,,,
18,Corrientes,Capital,civil y comercial 13,121756/15,DAÑOS Y PERJUICIOS,15/09/2015,15/09/2015,02/08/2019,No conciliada,02/08/2019,,,,,
18,Corrientes,Capital,civil y comercial 13,135254/16,DAÑOS Y PERJUICIOS,26/07/2016,26/07/2016,14/08/2019,No conciliada,14/08/2019,19/11/2019,,,,
18,Corrientes,Capital,civil y comercial 13, 48957/10,DAÑOS Y PERJUICIOS,18/03/2010,19/03/2010,15/08/2019,No conciliada,15/08/2019,,,,,
18,Corrientes,Capital,civil y comercial 13, 130748/16,DAÑOS Y PERJUICIOS,21/04/2016,25/04/2016,21/08/2019,No conciliada,21/08/2019,28/11/2019,,,,
18,Corrientes,Capital,civil y comercial 13, 140378/16,DAÑOS Y PERJUICIOS,11/10/2016,19/09/2017,22/08/2019,No conciliada,22/08/2019,26/11/2019,,,,
18,Corrientes,Capital,Civil y comercial 2,132776/16,DAÑOS Y PERJUICIOS,06/06/2016,11/06/2016,10/09/2019,No conciliada,11/09/2019,,,,,
18,Corrientes,Capital,Civil y comercial 2,22545/8,PRESCRIPCIÓN ADQUISITIVA,29/07/2008,31/07/2008,10/09/2019,No conciliada,18/09/2019,12/11/2019,,,,
18,Corrientes,Capital,Civil y comercial 2,171654/18,MEDIDA AUTOSATISFACTORIA - CONOCIMIENTO,13/07/2018,13/07/2018,06/09/2019,No conciliada,06/09/2019,,,,,
18,Corrientes,Capital,Civil y comercial  6,164906/18,PRESCRIPCIÓN ADQUISITIVA,01/03/2018,26/03/2018,17/09/2019,No conciliada,17/09/2019,13/11/2019,,,,
18,Corrientes,Capital,Civil y comercial  6,62216/11,PRESCRIPCIÓN ADQUISITIVA,30/03/2011,01/04/2011,19/09/2019,No conciliada,19/09/2019,15/11/2019,,,,
18,Corrientes,Capital,Civil y comercial  6,170889/18,DAÑOS Y PERJUICIOS,02/07/2018,10/07/2018,03/09/2019,No conciliada,03/09/2019,30/10/2019,,,,
18,Corrientes,Capital,Civil y comercial  6,142998/16,COBRO DE PESOS,23/11/2016,23/11/2016,03/09/2019,No conciliada,03/09/2019,04/12/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,138205/16,PRESCRIPCIÓN ADQUISITIVA,06/09/2016,06/09/2016,12/09/2019,No conciliada,12/09/2019,15/11/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,148214/17,DAÑOS Y PERJUICIOS,28/03/2017,30/03/2017,16/09/2019,No conciliada,16/09/2019,16/12/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,159289/17,DAÑOS Y PERJUICIOS,13/10/2017,13/10/2017,18/09/2019,No conciliada,18/09/2019,07/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,167717/18,DAÑOS Y PERJUICIOS,23/04/2018,24/04/2018,23/09/2019,No conciliada,23/09/2019,19/12/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,173933/18,DAÑOS Y PERJUICIOS,05/09/2018,05/09/2018,19/09/2019,No conciliada,19/09/2019,18/12/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,160993/17,ACCIÓN REVOCATORIA,15/11/2017,15/11/2017,09/09/2019,No conciliada,09/09/2019,11/12/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,180124/19,SUMARIO (CONOCIMENTO),08/02/2019,05/03/2019,05/08/2019,No conciliada,05/08/2019,26/09/2019,No conciliada,,,
18,Corrientes,Capital,Civil y Comercial 12,27366/14,PRESCRIPCIÓN ADQUISITIVA,04/11/2008,05/11/2008,27/08/2019,No conciliada,27/08/2019,01/11/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,171058/18,COBRO DE PESOS,05/07/2018,05/07/2018,07/08/2019,Concilió,07/08/2019,,,07/08/2019,07/08/2019,homologatoria
18,Corrientes,Capital,Civil y Comercial 12,98835/13,PRESCRIPCIÓN ADQUISITIVA,04/12/2013,05/02/2013,08/08/2019,No conciliada,08/08/2019,31/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,133632/16,COBRO DE PESOS,22/06/2016,23/06/2016,13/08/2019,No conciliada,13/08/2019,21/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,136014/16,PRESCRIPCIÓN ADQUISITIVA,04/08/2016,05/08/2016,14/08/2019,No conciliada,14/08/2019,22/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,107897/14,PRESCRIPCIÓN ADQUISITIVA,16/09/2014,17/09/2014,16/08/2019,No conciliada,16/08/2019,08/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,170370/18,REINVINDICACIÓN - ORDINARIO,21/06/2018,25/06/2018,20/08/2019,No conciliada,20/08/2019,29/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,107892/14,PRESCRIPCIÓN ADQUISITIVA,16/09/2014,17/09/2014,21/08/2019,No conciliada,21/08/2019,21/10/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,166069/18,DAÑOS Y PERJUICIOS,23/03/2019,03/04/2018,16/08/2019,No conciliada,16/08/2019,21/11/2019,,,,
18,Corrientes,Capital,Civil y Comercial 12,166939/18,PRESCRIPCIÓN ADQUISITIVA,10/04/2018,11/04/2018,28/08/2019,No conciliada,28/08/2019,,,27/09/2019,,
18,Corrientes,Capital,Civil y comercial 13,151968/17,DAÑOS Y PERJUICIOS,07/06/2017,17/06/2017,10/09/2019,No conciliada,10/09/2019,12/12/2019,,,,
18,Corrientes,Capital,Civil y comercial 13,65378/11,CUMPLIMIENTO/RESOLUCION DE CONTRATO,28/06/2011,29/06/2011,12/09/2019,No conciliada,12/09/2019,,,,,
18,Corrientes,Capital,Civil y comercial 13,112145/14,DAÑOS Y PERJUICIOS,22/12/2014,22/12/2014,05/09/2019,No conciliada,05/09/2019,,Concilió,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",987/09,PRESCRIPCIÓN ADQUISITIVA,26/11/2019,26/11/2019,14/08/2019,No conciliada,14/08/2019,19/11/2019,,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",5025/16,REINVINDICACIÓN - ORDINARIO,13/05/2016,13/05/2016,13/08/2019,No conciliada,13/08/2019,05/11/2019,,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",5916/18,DAÑOS Y PERJUICIOS,21/03/2018,21/03/2018,15/08/2019,No conciliada,15/08/2019,,,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",6518/19,INTERDICTO,29/03/2019,29/03/2019,22/08/2019,No conciliada,22/08/2019,07/11/2019,,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",5968/18,PRESCRIPCIÓN ADQUISITIVA,27/04/2018,27/04/2018,05/09/2019,No conciliada,05/09/2019,14/11/2019,,,,
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",6261/18,REINVINDICACIÓN - ORDINARIO,30/10/2018,30/10/2018,03/09/2019,No conciliada,03/09/2019,10/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,15800/15,PRESCRIPCIÓN ADQUISITIVA,06/02/2015,06/02/2015,06/09/2019,No conciliada,06/09/2019,12/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16344/15,PRESCRIPCIÓN ADQUISITIVA,03/07/2015,03/07/2015,06/09/2019,No conciliada,06/09/2019,04/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16674/16,PRESCRIPCIÓN ADQUISITIVA - ORDINARIO,23/03/2016,23/03/2016,03/09/2019,No conciliada,03/09/2019,28/11/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16775/16,PRESCRIPCIÓN ADQUISITIVA,04/05/2016,04/05/2016,03/09/2019,No conciliada,03/09/2019,21/11/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,18559/18,PRESCRIPCIÓN ADQUISITIVA,15/08/2018,15/08/2018,20/09/2019,No conciliada,20/09/2019,11/02/2020,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,18604/18,PRESCRIPCIÓN ADQUISITIVA,19/09/2018,19/08/2018,10/09/2019,No conciliada,10/09/2019,05/02/2020,,,,
18,Corrientes,Santa Rosa,Multifuero - Santa Rosa,152902/17,DAÑOS Y PERJUICIOS,23/06/2017,23/06/2017,23/08/2019,Concilió,,,,,23/08/2019,HOMOLOGATORIA
18,Corrientes,Santa Rosa,Multifuero - Santa Rosa,7480/19,REDARGUSIÓN DE FALSEDAD,12/03/2019,12/03/2019,16/09/2019,No conciliada,16/09/2019,14/11/2019,,,,
18,Corrientes,Goya,civil y comercial 1 Goya,35176/18,DAÑOS Y PERJUICIOS,14/12/2018,14/12/2018,18/09/2019,No conciliada,18/09/2019,21/11/2019,,,,
18,Corrientes,Goya,civil y comercial 1 Goya,35130/18,DAÑOS Y PERJUICIOS,11/12/2018,11/12/2018,25/09/2019,No conciliada,25/09/2019,03/12/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,25188/15,DAÑOS Y PERJUICIOS,08/07/2015,08/07/2015,09/09/2019,No conciliada,09/09/2019,12/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,33479/18,DAÑOS Y PERJUICIOS,16/05/2018,16/05/2018,16/09/2019,No conciliada,16/09/2019,17/12/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32731/18,SUMARIO (CONOCIMENTO),07/02/2018,07/02/2018,02/09/2019,No conciliada,02/09/2019,,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34555/18,REINVINDICACIÓN - ORDINARIO,04/10/2018,04/10/2018,06/09/2019,No conciliada,06/09/2019,15/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,36159/19,DESALOJO,06/05/2019,06/05/2019,13/09/2019,Concilió,13/09/2019,,,,13/09/2019,HOMOLOGATORIA
18,Corrientes,Goya,Civil y comercial 3 de Goya,27861/16,PRESCRIPCIÓN ADQUISITIVA,06/03/2018,06/03/2018,16/09/2019,,16/09/2019,,,23/09/2019,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,36105/19,DAÑOS Y PERJUICIOS,25/04/2019,25/04/2019,19/09/2019,No conciliada,19/09/2019,,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32914/18,CUMPLIMIENTO/RESOLUCION DE CONTRATO,06/03/2018,06/03/2018,23/09/2019,,23/09/2019,,,23/09/2019,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34667/18,REINVINDICACIÓN - ORDINARIO,24/10/2018,24/10/2018,24/09/2019,No conciliada,24/09/2019,,,,,
18,Corrientes,Esquina,"Civil, Comercial Y Laboral - Esquina",5905/18,PRESCRIPCIÓN ADQUISITIVA,22/02/2018,22/02/2018,02/09/2019,No conciliada,02/09/2019,,,,,
18,Corrientes,Esquina,"Civil, Comercial Y Laboral - Esquina",6425/19,DAÑOS Y PERJUICIOS,27/05/2019,27/05/2019,04/09/2019,No conciliada,09/09/2019,13/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12342/19,DAÑOS Y PERJUICIOS,06/05/2019,06/05/2019,05/09/2019,No conciliada,05/09/2019,11/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11541/18,DAÑOS Y PERJUICIOS,15/11/2018,15/11/2018,02/09/2019,No conciliada,02/09/2019,04/11/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11684/18,DAÑOS Y PERJUICIOS,10/12/2018,10/12/2018,12/09/2019,No conciliada,12/09/2019,14/11/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",10261/18,SUMARIO (CONOCIMENTO),01/03/2018,01/03/2018,19/09/2019,No conciliada,19/09/2019,16/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12294/19,COBRO DE PESOS,23/04/2019,23/04/2019,20/09/2019,No conciliada,20/09/2019,28/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",11036/18,DAÑOS Y PERJUICIOS,03/09/2018,03/09/2018,30/09/2019,No conciliada,30/09/2019,27/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",12314/19,DAÑOS Y PERJUICIOS,25/04/2019,25/04/2019,10/09/2019,No conciliada,10/09/2019,18/02/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",10334/18,PRESCRIPCIÓN ADQUISITIVA,16/03/2018,16/03/2018,11/09/2019,No conciliada,11/09/2019,03/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",7166/15,PRESCRIPCIÓN ADQUISITIVA,15/05/2015,15/05/2015,27/09/2019,No conciliada,27/09/2019,03/12/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial, Familia y CA - Curuzú",9697/17,DAÑOS Y PERJUICIOS,01/09/2017,01/09/2017,24/09/2019,No conciliada,24/09/2019,16/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",11630/18,REINVINDICACIÓN - ORDINARIO,29/11/2018,29/11/2018,11/09/2019,No conciliada,11/09/2019,02/10/2019,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",9769/17,ESCRITURACIÓN,20/09/2017,20/09/2017,18/09/2019,No conciliada,18/09/2019,,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",12407/19,SERVIDUMBRE,23/05/2019,23/05/2019,25/09/2019,No conciliada,25/09/2019,06/03/2020,,,,
18,Corrientes,Curuzú Cuatiá,"Civil, Comercial y Laboral -Curuzú",5053/15,PRESCRIPCIÓN ADQUISITIVA,11/03/2015,11/03/2015,13/09/2019,No conciliada,13/09/2019,28/11/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,20030/19,ACCION DE NULIDAD,20/05/2019,20/05/2019,18/09/2019,No conciliada,18/09/2019,12/11/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,19304/19,SUMARISIMO,05/02/2019,05/02/2019,25/09/2019,No conciliada,25/09/2019,29/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial - Paso de los Libres,17695/18,PRESCRIPCIÓN ADQUISITIVA,21/05/2018,21/05/2018,27/09/2019,No conciliada,27/09/2019,12/12/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18892/18,DAÑOS Y PERJUICIOS,27/11/2018,27/11/2018,04/09/2019,No conciliada,04/09/2019,16/12/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,17676/19,PRESCRIPCION ADQUISITIVA,17/05/2018,17/05/2018,10/09/2019,No conciliada,10/09/2019,29/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18299/18,INTERDICTO DE RECOBRAR,30/08/2018,30/08/2018,18/09/2019,No conciliada,18/09/2019,21/10/2019,,,,
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18302/18,INTERDICTO DE RECOBRAR,30/08/2018,30/08/2018,18/09/2019,Concilió,18/09/2019,,,18/09/2019,18/09/2019,HOMOLOGATORIA
18,Corrientes,Paso de los Libres,Civil y Comercial y Laboral - Paso de los Libres,18896/18,DESALOJO,27/11/2018,27/11/2018,27/09/2019,No conciliada,27/09/2019,31/10/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial - Monte Caseros,9580/19,COBRO DE PESOS,25/03/2019,25/03/2019,27/09/2019,No conciliada,27/09/2019,25/11/2019,,,,
18,Corrientes,Monte Caseros,Civil y Comercial y Laboral - Monte Caseros,8762/18,REIVINDICACION,28/03/2018,28/03/2018,17/09/2019,No conciliada,17/09/2019,18/02/2020,,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,8961/18,INTERDICTO DE RETENER,30/10/2018,30/10/2018,05/09/2019,No conciliada,05/09/2019,24/09/2019,No conciliada,,,
18,Corrientes,Santo Tomé,Civil y Comercial - S. Tome,8430/18,DAÑOS Y PERJUICIOS,05/04/2018,05/04/2018,17/09/2019,No conciliada,17/09/2019,03/12/2019,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,9189/19,DAÑOS Y PERJUICIOS,15/02/2019,15/02/2019,02/09/2019,No conciliada,02/09/2019,02/12/2019,,,,
18,Corrientes,Santo Tomé,Civil y Comercial y Laboral - S. Tome,8162/17,DESALOJO,12/12/2017,12/12/2017,23/09/2019,No conciliada,23/09/2019,26/11/2019,,,,
18,Corrientes,Ituzaingó,Civil y Comercial y Laboral - Ituzaingo,5960/18, PRESCRIPCION ADQUISITIVA,05/09/2018,12/09/2019,12/09/2019,No conciliada,12/09/2019,03/10/2019,No conciliada,,,
